Sample Index,Amplitude
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,-1.5930366962948027e-05
25,-1.5930366962948027e-05
26,-3.186073392589605e-05
27,-4.779110312301781e-05
28,-7.965183258056638e-05
29,-0.0001115125709748099
30,-0.00015930366516113276
31,-0.00023895549774169923
32,-0.0003186073303222655
33,-0.000461980657564709
34,-0.0006212843227258415
35,-0.0008443094825488514
36,-0.0011151256561279296
37,-0.0014496633243688847
38,-0.0018638529681775252
39,-0.0024054854583228005
40,-0.0030108394431299537
41,-0.003759566612192429
42,-0.003855148925678804
43,-0.0039825916290283205
44,-0.004030382785771507
45,-0.003998522109934129
46,-0.0037914272880298083
47,-0.0035206111144507296
48,-0.002994908962224144
49,-0.002214320974337169
50,-0.0011788471507898064
51,1.5930366962948027e-05
52,0.0016886189650977027
53,0.0033772379301954055
54,0.005097717285156248
55,0.006627032585092819
56,0.008235999717609957
57,0.009876827239990234
58,0.01127869926462881
59,0.012792085227556526
60,0.014034653587033971
61,0.015086057319538668
62,0.01628083480824716
63,0.017348169593606143
64,0.018606669005937878
65,0.019721794662065802
66,0.02070947647094726
67,0.02176088020345196
68,0.022860075950622557
69,0.023879619865212587
70,0.02486730396188795
71,0.025807193756103516
72,0.02681080776173621
73,0.02776662975270301
74,0.0289136152267456
75,0.03007653289753943
76,0.031096076812129465
77,0.032179340362548825
78,0.03342190986592323
79,0.03452110561309382
80,0.03549285751301795
81,0.03627344592986628
82,0.03702217224100604
83,0.037818690566811704
84,0.038567419165745374
85,0.03898160594981164
86,0.039475449142046266
87,0.03998521995544433
88,0.04017638343852014
89,0.040224175453186024
90,0.04035161930043251
91,0.04047906314767897
92,0.04036755149718374
93,0.04004894416686147
94,0.03936393749155104
95,0.0390612577823922
96,0.03888602649606764
97,0.038296601562295106
98,0.037372641677036876
99,0.03638495758036151
100,0.03541320568043738
101,0.034154706268105656
102,0.032689113463740795
103,0.031271310386247926
104,0.029901299323420966
105,0.028021515159402044
106,0.026316966857295482
107,0.024692068099975584
108,0.02247774669667706
109,0.020215635566506532
110,0.017969454345293342
111,0.015962227477924893
112,0.013859418869018552
113,0.01171402018509077
114,0.009754585332388226
115,0.007641047610272061
116,0.005049598318824975
117,0.002638584260863717
118,0.00046652547856729145
119,-0.0013657946872583121
120,-0.002964688177057542
121,-0.0046273031615186476
122,-0.006539930873383128
123,-0.008431427855855144
124,-0.009872001553411246
125,-0.011185459995269776
126,-0.012271020740996756
127,-0.012980110479389259
128,-0.013854687167872906
129,-0.01462880886357452
130,-0.014910074407124193
131,-0.015627596038731286
132,-0.016223204135894776
133,-0.01674923471523507
134,-0.017317199184169293
135,-0.017830859518880606
136,-0.01793520415451494
137,-0.018059038363434952
138,-0.018728066421225955
139,-0.01943251751448988
140,-0.01998188086451234
141,-0.020671338117233238
142,-0.021732393222895916
143,-0.02281978240925819
144,-0.023717317903152433
145,-0.024593065363017374
146,-0.025877476157527415
147,-0.027466201976279258
148,-0.02907540229219011
149,-0.03069177198224934
150,-0.032070498739124736
151,-0.03357568410480161
152,-0.03531008051044773
153,-0.03736176939406432
154,-0.039462235530791805
155,-0.041707058763153254
156,-0.04372300018067318
157,-0.04581306433607519
158,-0.04770189093599273
159,-0.04946359814563766
160,-0.05159203722819721
161,-0.05346526105343364
162,-0.054786778663983564
163,-0.055899891290254876
164,-0.05677437208652991
165,-0.05759684989538072
166,-0.05821222899518035
167,-0.05843389734602533
168,-0.05809411253456929
169,-0.057543342060629214
170,-0.0565540199628158
171,-0.05537419058051601
172,-0.05437024678518646
173,-0.053117885417921944
174,-0.051315790371270854
175,-0.04954976481873599
176,-0.04787867058793199
177,-0.046001465564165844
178,-0.043923019104806005
179,-0.041762628206182845
180,-0.03960579591588612
181,-0.03716741689997288
182,-0.034777160494426855
183,-0.03256668193574879
184,-0.030597737630491614
185,-0.028664866598416116
186,-0.026757393370749196
187,-0.024718914200726434
188,-0.022733757583587425
189,-0.02088288222894771
190,-0.019341198687884028
191,-0.017755001584556885
192,-0.01624944168346701
193,-0.014710708429694935
194,-0.013075457152206217
195,-0.01170319592463784
196,-0.010278272774955258
197,-0.008921989572350868
198,-0.007475323834992015
199,-0.00608132293163799
200,-0.004771191351732707
201,-0.003403523403685543
202,-0.0019683678005585846
203,-0.0008279408495986356
204,0.00033672655539187325
205,0.001754310622926884
206,0.0029705329486465763
207,0.004426366917769812
208,0.0056450895685234
209,0.0067000428076356205
210,0.007503999191152394
211,0.008407866739810197
212,0.009389294108408719
213,0.010274315955450723
214,0.011168381555904631
215,0.011518351569154544
216,0.011789640603743679
217,0.012281274912185905
218,0.01290276178251617
219,0.013124165839376799
220,0.01302905817743565
221,0.01262549523487687
222,0.012391647981359123
223,0.012234841524116637
224,0.01215619471725353
225,0.011736385179842755
226,0.010909059937964627
227,0.009929053758315499
228,0.009173168793360454
229,0.008558057089103054
230,0.007937440835064336
231,0.007426821988698208
232,0.006942453486830927
233,0.006393763907546236
234,0.005712116705261286
235,0.005167902990952129
236,0.005204271603018864
237,0.005306589595077093
238,0.005298095976341863
239,0.005637173417651211
240,0.006105514295350876
241,0.006724292862514262
242,0.007550113528193907
243,0.008653361376228274
244,0.009804566791355739
245,0.011080912494311477
246,0.012526621328820736
247,0.013997666730171651
248,0.015493757682197615
249,0.017177355957691876
250,0.018452779904917994
251,0.019557354706135812
252,0.02073243423448642
253,0.02192783730738003
254,0.02304461089476499
255,0.023865160800614824
256,0.024602952649781937
257,0.025128975330618922
258,0.02547285920646922
259,0.025973904242766733
260,0.026414915987821443
261,0.026653793901635515
262,0.026631918900401213
263,0.026506721769215067
264,0.02609255560973703
265,0.025740319928304233
266,0.02534303690570217
267,0.0248265689505692
268,0.0239133384902314
269,0.02300872199422119
270,0.022104298872371655
271,0.021227512006854975
272,0.020529015395165478
273,0.019818420444576188
274,0.019028069294351153
275,0.018204179180614007
276,0.017354826640701506
277,0.016470280786907533
278,0.01568455459037388
279,0.014977257920379057
280,0.014238736177355752
281,0.013371321085109954
282,0.012373282227047823
283,0.011341193887165575
284,0.010347151968081015
285,0.00927280566500733
286,0.008593739333293765
287,0.007704377142427971
288,0.006771660844181001
289,0.005637685549450578
290,0.004441860142918307
291,0.0034361019202957337
292,0.002427668367707798
293,0.0013149230569502015
294,0.0003103323429780916
295,-0.0007457521261544207
296,-0.0019833490282190045
297,-0.0032371025573786284
298,-0.004384921716510843
299,-0.005410559912432788
300,-0.006416496405082948
301,-0.00733135632426861
302,-0.008234161293145097
303,-0.008852657250504764
304,-0.009344592605178656
305,-0.009987303130055804
306,-0.010512525425943988
