expected, result, bool
0.013029, 0.013029, 1
0.012625, 0.012626, 1
0.012392, 0.012392, 1
0.012235, 0.012235, 1
0.012156, 0.012156, 1
0.011736, 0.011736, 1
0.010909, 0.010909, 1
0.009929, 0.009929, 1
0.009173, 0.009173, 1
0.008558, 0.008558, 1
0.007937, 0.007937, 1
0.007427, 0.007427, 1
0.006943, 0.006942, 1
0.006394, 0.006394, 1
0.005712, 0.005712, 1
0.005168, 0.005168, 1
0.005204, 0.005204, 1
0.005307, 0.005307, 1
0.005298, 0.005298, 1
0.005637, 0.005637, 1
0.006106, 0.006106, 1
0.006724, 0.006724, 1
0.007550, 0.007550, 1
0.008653, 0.008653, 1
0.009805, 0.009804, 1
0.011081, 0.011081, 1
0.012527, 0.012527, 1
0.013998, 0.013998, 1
0.015494, 0.015494, 1
0.017177, 0.017177, 1
0.018453, 0.018453, 1
0.019557, 0.019557, 1
0.020732, 0.020733, 1
0.021928, 0.021928, 1
0.023045, 0.023044, 1
0.023865, 0.023865, 1
0.024603, 0.024603, 1
0.025129, 0.025129, 1
0.025473, 0.025473, 1
0.025974, 0.025974, 1
0.026415, 0.026415, 1
0.026654, 0.026654, 1
0.026632, 0.026632, 1
0.026507, 0.026507, 1
0.026093, 0.026093, 1
0.025740, 0.025740, 1
0.025343, 0.025343, 1
0.024827, 0.024827, 1
0.023913, 0.023914, 1
0.023009, 0.023009, 1
0.022104, 0.022104, 1
0.021227, 0.021228, 1
0.020529, 0.020529, 1
0.019818, 0.019818, 1
0.019028, 0.019028, 1
0.018204, 0.018204, 1
0.017355, 0.017355, 1
0.016470, 0.016470, 1
0.015685, 0.015684, 1
0.014977, 0.014977, 1
0.014239, 0.014239, 1
0.013371, 0.013371, 1
0.012373, 0.012373, 1
0.011341, 0.011341, 1
0.010347, 0.010347, 1
0.009273, 0.009273, 1
0.008594, 0.008594, 1
0.007704, 0.007705, 1
0.006772, 0.006772, 1
0.005638, 0.005638, 1
0.004442, 0.004442, 1
0.003436, 0.003436, 1
0.002428, 0.002428, 1
0.001315, 0.001315, 1
0.000310, 0.000310, 1
-0.000746, -0.000746, 1
-0.001983, -0.001983, 1
-0.003237, -0.003237, 1
-0.004385, -0.004385, 1
-0.005411, -0.005410, 1
-0.006416, -0.006416, 1
-0.007331, -0.007331, 1
-0.008234, -0.008234, 1
-0.008853, -0.008853, 1
-0.009345, -0.009345, 1
-0.009987, -0.009987, 1
-0.010512, -0.010512, 1
-0.010884, -0.010884, 1
-0.011016, -0.011016, 1
-0.011023, -0.011024, 1
-0.011176, -0.011176, 1
-0.011399, -0.011399, 1
-0.011625, -0.011626, 1
-0.011905, -0.011905, 1
-0.012122, -0.012122, 1
-0.012265, -0.012265, 1
-0.012056, -0.012056, 1
-0.011943, -0.011943, 1
-0.012109, -0.012109, 1
-0.012646, -0.012646, 1
-0.012791, -0.012791, 1
-0.012637, -0.012637, 1
-0.012464, -0.012464, 1
-0.012182, -0.012181, 1
-0.011984, -0.011984, 1
-0.011839, -0.011838, 1
-0.011811, -0.011811, 1
-0.011402, -0.011402, 1
-0.011057, -0.011057, 1
-0.010882, -0.010882, 1
-0.010694, -0.010694, 1
-0.010394, -0.010394, 1
-0.009970, -0.009970, 1
-0.009668, -0.009668, 1
-0.009570, -0.009570, 1
-0.009364, -0.009364, 1
-0.009265, -0.009265, 1
-0.009245, -0.009246, 1
-0.009062, -0.009062, 1
-0.008917, -0.008917, 1
-0.008919, -0.008919, 1
-0.009047, -0.009047, 1
-0.009404, -0.009404, 1
-0.009882, -0.009882, 1
-0.010320, -0.010320, 1
-0.010967, -0.010967, 1
-0.011644, -0.011644, 1
-0.012320, -0.012320, 1
-0.013485, -0.013485, 1
-0.014708, -0.014708, 1
-0.015681, -0.015681, 1
-0.016281, -0.016280, 1
-0.017068, -0.017068, 1
-0.017920, -0.017920, 1
-0.018654, -0.018654, 1
-0.019299, -0.019299, 1
-0.019764, -0.019764, 1
-0.020274, -0.020274, 1
-0.020727, -0.020727, 1
-0.021027, -0.021027, 1
-0.021465, -0.021464, 1
-0.021729, -0.021729, 1
-0.022009, -0.022009, 1
-0.022287, -0.022287, 1
-0.022157, -0.022157, 1
-0.021826, -0.021826, 1
-0.021409, -0.021409, 1
-0.020991, -0.020992, 1
-0.020563, -0.020563, 1
-0.020104, -0.020104, 1
-0.019370, -0.019369, 1
-0.018735, -0.018735, 1
-0.017959, -0.017959, 1
-0.017387, -0.017387, 1
-0.017003, -0.017003, 1
-0.016564, -0.016564, 1
-0.016360, -0.016360, 1
-0.016201, -0.016201, 1
-0.015935, -0.015935, 1
-0.015746, -0.015745, 1
-0.015915, -0.015915, 1
-0.016380, -0.016380, 1
-0.016762, -0.016762, 1
-0.017088, -0.017088, 1
-0.017149, -0.017148, 1
-0.017445, -0.017445, 1
-0.017873, -0.017873, 1
-0.018184, -0.018184, 1
-0.018366, -0.018366, 1
-0.018528, -0.018528, 1
-0.018841, -0.018841, 1
-0.019111, -0.019111, 1
-0.019426, -0.019426, 1
-0.019110, -0.019110, 1
-0.018613, -0.018614, 1
-0.018364, -0.018364, 1
-0.017882, -0.017883, 1
-0.017274, -0.017275, 1
-0.016690, -0.016690, 1
-0.015828, -0.015828, 1
-0.014493, -0.014493, 1
-0.013021, -0.013021, 1
-0.011673, -0.011673, 1
-0.010178, -0.010178, 1
-0.008411, -0.008411, 1
-0.006506, -0.006506, 1
-0.004631, -0.004631, 1
-0.002872, -0.002872, 1
-0.000954, -0.000954, 1
0.001175, 0.001176, 1
0.003086, 0.003086, 1
0.004892, 0.004891, 1
0.006606, 0.006606, 1
0.008734, 0.008734, 1
0.010611, 0.010612, 1
0.012448, 0.012448, 1
0.014381, 0.014381, 1
0.016115, 0.016115, 1
0.017654, 0.017655, 1
0.019207, 0.019207, 1
0.020503, 0.020503, 1
0.021628, 0.021628, 1
0.022944, 0.022944, 1
0.023890, 0.023890, 1
0.024542, 0.024542, 1
0.025096, 0.025096, 1
0.025531, 0.025531, 1
0.025850, 0.025850, 1
0.026025, 0.026024, 1
0.025930, 0.025929, 1
0.025383, 0.025383, 1
0.024909, 0.024909, 1
0.024433, 0.024433, 1
0.023848, 0.023849, 1
0.022998, 0.022997, 1
0.021498, 0.021498, 1
0.020068, 0.020067, 1
0.018745, 0.018744, 1
0.017358, 0.017358, 1
0.015746, 0.015746, 1
0.014081, 0.014081, 1
0.012614, 0.012614, 1
0.011251, 0.011251, 1
0.009606, 0.009606, 1
0.008148, 0.008148, 1
0.006597, 0.006597, 1
0.005316, 0.005316, 1
0.004152, 0.004152, 1
0.003092, 0.003092, 1
0.002379, 0.002378, 1
0.001979, 0.001979, 1
0.001636, 0.001636, 1
0.001322, 0.001322, 1
0.001272, 0.001272, 1
0.001295, 0.001296, 1
0.001228, 0.001228, 1
0.001287, 0.001287, 1
0.001631, 0.001631, 1
0.002029, 0.002029, 1
0.002618, 0.002617, 1
0.003212, 0.003212, 1
0.003897, 0.003897, 1
0.004730, 0.004730, 1
0.005519, 0.005519, 1
0.006590, 0.006590, 1
0.007829, 0.007829, 1
0.008858, 0.008858, 1
0.009799, 0.009799, 1
0.010844, 0.010844, 1
0.011778, 0.011779, 1
0.012728, 0.012727, 1
0.013534, 0.013534, 1
0.014457, 0.014457, 1
0.015387, 0.015388, 1
0.016284, 0.016284, 1
0.016882, 0.016882, 1
0.017247, 0.017246, 1
0.017832, 0.017832, 1
0.018592, 0.018592, 1
0.019397, 0.019397, 1
0.019846, 0.019847, 1
0.020148, 0.020148, 1
0.020449, 0.020449, 1
0.020760, 0.020760, 1
0.021053, 0.021053, 1
0.021176, 0.021176, 1
0.021185, 0.021185, 1
0.021244, 0.021244, 1
0.021154, 0.021153, 1
0.020913, 0.020913, 1
0.020680, 0.020680, 1
0.020340, 0.020340, 1
0.019803, 0.019802, 1
0.019223, 0.019223, 1
0.019012, 0.019012, 1
0.018616, 0.018616, 1
0.018025, 0.018024, 1
0.017298, 0.017298, 1
0.016686, 0.016685, 1
0.016154, 0.016154, 1
0.015460, 0.015459, 1
0.014954, 0.014953, 1
0.014355, 0.014355, 1
0.013814, 0.013815, 1
0.012994, 0.012994, 1
0.012219, 0.012219, 1
0.011365, 0.011365, 1
0.010593, 0.010593, 1
0.009866, 0.009867, 1
0.009084, 0.009084, 1
0.008286, 0.008286, 1
0.007561, 0.007562, 1
0.006934, 0.006934, 1
0.006219, 0.006218, 1
0.005369, 0.005369, 1
0.004389, 0.004389, 1
0.003736, 0.003735, 1
0.003128, 0.003129, 1
0.002585, 0.002585, 1
0.001915, 0.001915, 1
0.001046, 0.001046, 1
0.000326, 0.000326, 1
-0.000401, -0.000401, 1
-0.001225, -0.001225, 1
-0.001793, -0.001793, 1
-0.002486, -0.002486, 1
-0.003032, -0.003031, 1
-0.003564, -0.003564, 1
-0.004009, -0.004010, 1
