Sample Index,Amplitude
377,-0.006134033
378,-0.008239746
379,-0.010406494
380,-0.012939453
381,-0.016021729
382,-0.018981934
383,-0.021911621
384,-0.024505615
385,-0.02734375
386,-0.030151367
387,-0.032470703
388,-0.034606934
389,-0.036743164
390,-0.0390625
391,-0.040985107
392,-0.04257202
393,-0.043426514
394,-0.043792725
395,-0.044769287
396,-0.045074463
397,-0.04498291
398,-0.044555664
399,-0.044006348
400,-0.042663574
401,-0.040924072
402,-0.0390625
403,-0.036712646
404,-0.034088135
405,-0.031341553
406,-0.02835083
407,-0.025390625
408,-0.022338867
409,-0.019104004
410,-0.016143799
411,-0.013580322
412,-0.011077881
413,-0.008178711
414,-0.0061950684
415,-0.0043945312
416,-0.0026245117
417,-0.0010681152
418,0.00021362305
419,0.0012207031
420,0.0019226074
421,0.0024108887
422,0.0028076172
423,0.00289917
424,0.0028686523
425,0.00289917
426,0.0028381348
427,0.0024108887
428,0.0018005371
429,0.0012512207
430,0.0005187988
431,3.0517578e-05
432,-0.00045776367
433,-0.0009460449
434,-0.0016784668
435,-0.002746582
436,-0.0035095215
437,-0.003967285
438,-0.0043640137
439,-0.00491333
440,-0.0050964355
441,-0.0047912598
442,-0.0042419434
443,-0.0037841797
444,-0.0029907227
445,-0.0020446777
446,-0.00079345703
447,0.00088500977
448,0.0026245117
449,0.0047302246
450,0.0069885254
451,0.009399414
452,0.0119018555
453,0.014434814
454,0.016845703
455,0.019042969
456,0.021240234
457,0.023468018
458,0.0256958
459,0.028076172
460,0.030426025
461,0.03253174
462,0.03479004
463,0.036987305
464,0.039245605
465,0.041412354
466,0.043121338
467,0.044952393
468,0.046722412
469,0.048339844
470,0.049682617
471,0.050628662
472,0.051361084
473,0.05203247
474,0.052581787
475,0.052612305
476,0.052459717
477,0.052246094
478,0.051849365
479,0.051513672
480,0.050933838
481,0.049926758
482,0.049041748
483,0.04815674
484,0.04711914
485,0.046081543
486,0.045013428
487,0.043823242
488,0.042266846
489,0.04095459
490,0.03982544
491,0.03845215
492,0.037078857
493,0.035827637
494,0.03503418
495,0.03414917
496,0.033111572
497,0.03213501
498,0.03137207
499,0.030975342
500,0.02999878
501,0.029296875
502,0.02835083
503,0.02722168
504,0.025817871
505,0.024383545
506,0.02279663
507,0.02142334
508,0.019836426
509,0.017852783
510,0.015960693
511,0.014038086
512,0.012207031
513,0.010406494
514,0.008422852
515,0.006164551
516,0.004180908
517,0.002319336
518,0.0009460449
519,-0.00039672852
520,-0.0018310547
521,-0.003326416
522,-0.0046691895
523,-0.0057373047
524,-0.0065307617
525,-0.0074157715
526,-0.008239746
527,-0.0087890625
528,-0.009277344
529,-0.009246826
530,-0.00970459
531,-0.0101623535
532,-0.010559082
533,-0.0107421875
534,-0.010650635
535,-0.010772705
536,-0.01083374
537,-0.011169434
538,-0.011199951
539,-0.011505127
540,-0.011962891
541,-0.012634277
542,-0.013366699
543,-0.014404297
544,-0.015777588
545,-0.016967773
546,-0.018859863
547,-0.02130127
548,-0.023712158
549,-0.0262146
550,-0.028839111
551,-0.03173828
552,-0.035064697
553,-0.03857422
554,-0.041809082
555,-0.04522705
556,-0.04852295
557,-0.052124023
558,-0.05532837
559,-0.058441162
560,-0.061279297
561,-0.0640564
562,-0.066467285
563,-0.06890869
564,-0.07104492
565,-0.07232666
566,-0.07333374
567,-0.07434082
568,-0.075286865
569,-0.075683594
570,-0.075927734
571,-0.07562256
572,-0.07519531
573,-0.07449341
574,-0.07345581
575,-0.0718689
576,-0.06994629
577,-0.06820679
578,-0.06625366
579,-0.06390381
580,-0.06124878
581,-0.058624268
582,-0.056243896
583,-0.05355835
584,-0.05102539
585,-0.048339844
586,-0.045410156
587,-0.04244995
588,-0.03982544
589,-0.036834717
590,-0.033416748
591,-0.030181885
592,-0.026397705
593,-0.02279663
594,-0.019592285
595,-0.016296387
596,-0.012573242
597,-0.00894165
598,-0.0055236816
599,-0.0019836426
600,0.0015258789
601,0.0050354004
602,0.008331299
603,0.01159668
604,0.014587402
605,0.017333984
606,0.019958496
607,0.022705078
608,0.02520752
609,0.027740479
610,0.029846191
611,0.031921387
612,0.03363037
613,0.035491943
614,0.0368042
615,0.03768921
616,0.038604736
617,0.03933716
618,0.03994751
619,0.040130615
620,0.040100098
621,0.040039062
622,0.03982544
623,0.03955078
624,0.039367676
625,0.0390625
626,0.03869629
627,0.037719727
628,0.03717041
629,0.03665161
630,0.035888672
631,0.03555298
632,0.035186768
633,0.03479004
634,0.03488159
635,0.035003662
636,0.034973145
637,0.035003662
638,0.035186768
639,0.035736084
640,0.03652954
641,0.037475586
642,0.038330078
643,0.03930664
644,0.040374756
645,0.04156494
646,0.04269409
647,0.04385376
648,0.045013428
649,0.046173096
650,0.0473938
651,0.048339844
652,0.04928589
653,0.05026245
654,0.050842285
655,0.051208496
656,0.051483154
657,0.051452637
658,0.05126953
659,0.050994873
660,0.0501709
661,0.04888916
662,0.04736328
663,0.045776367
664,0.043914795
665,0.041809082
666,0.039489746
667,0.037109375
668,0.03451538
669,0.03201294
670,0.02911377
671,0.026000977
672,0.023254395
673,0.020202637
674,0.017364502
675,0.014526367
676,0.011016846
677,0.00793457
678,0.0050964355
679,0.0018920898
680,-0.0012512207
681,-0.0042419434
682,-0.007232666
683,-0.010223389
684,-0.012756348
685,-0.015411377
686,-0.018341064
687,-0.020965576
688,-0.023376465
689,-0.025756836
690,-0.028015137
691,-0.030548096
692,-0.033081055
693,-0.035003662
694,-0.03704834
695,-0.039489746
696,-0.041778564
697,-0.044311523
698,-0.04623413
699,-0.04837036
700,-0.05029297
701,-0.05178833
702,-0.053375244
703,-0.054382324
704,-0.055267334
705,-0.05596924
706,-0.056274414
707,-0.056671143
708,-0.056488037
709,-0.05633545
710,-0.055999756
711,-0.05545044
712,-0.054901123
713,-0.054107666
714,-0.053009033
715,-0.051605225
716,-0.05050659
717,-0.04888916
718,-0.047088623
719,-0.04559326
720,-0.04385376
721,-0.042053223
722,-0.039886475
723,-0.038024902
724,-0.035888672
725,-0.033477783
726,-0.031402588
727,-0.029174805
728,-0.026733398
729,-0.023895264
730,-0.021331787
731,-0.01864624
732,-0.015838623
733,-0.012817383
734,-0.0101623535
735,-0.0077209473
736,-0.0050354004
737,-0.0024414062
738,-0.00021362305
739,0.0020446777
740,0.004333496
741,0.006134033
742,0.007843018
743,0.009765625
744,0.011413574
745,0.012756348
746,0.013824463
747,0.014923096
748,0.015655518
749,0.016235352
750,0.016693115
751,0.01687622
752,0.01675415
753,0.01638794
754,0.015899658
755,0.015350342
756,0.014282227
757,0.013153076
758,0.0121154785
759,0.010803223
760,0.0095825195
761,0.007843018
762,0.0059814453
763,0.0043640137
764,0.0024414062
765,0.00045776367
766,-0.0014038086
767,-0.0036315918
768,-0.0058288574
769,-0.007659912
770,-0.009887695
771,-0.012054443
772,-0.014282227
773,-0.016723633
774,-0.018798828
775,-0.020599365
776,-0.022155762
777,-0.023834229
778,-0.025421143
779,-0.02633667
780,-0.027160645
781,-0.027770996
782,-0.028320312
783,-0.028625488
784,-0.028411865
785,-0.028015137
786,-0.027526855
787,-0.02722168
788,-0.026611328
789,-0.025665283
790,-0.024597168
791,-0.023590088
792,-0.022277832
793,-0.020843506
794,-0.019195557
795,-0.017242432
796,-0.015380859
797,-0.013458252
798,-0.011077881
799,-0.009002686
800,-0.0067749023
801,-0.004547119
802,-0.002380371
803,-0.0002746582
804,0.0012207031
805,0.0026245117
806,0.0040893555
807,0.0049438477
808,0.0053710938
809,0.0052490234
810,0.00491333
811,0.004180908
812,0.00289917
813,0.0019226074
814,0.0006713867
815,-0.0011901855
816,-0.0032043457
817,-0.005126953
818,-0.0073242188
819,-0.009307861
820,-0.01184082
821,-0.014282227
822,-0.016448975
823,-0.018615723
824,-0.02078247
825,-0.022521973
826,-0.024353027
827,-0.025970459
828,-0.027191162
829,-0.02835083
830,-0.029327393
831,-0.029907227
832,-0.03024292
833,-0.03048706
834,-0.030853271
835,-0.030883789
836,-0.029937744
837,-0.028686523
838,-0.027557373
839,-0.02645874
840,-0.024536133
841,-0.022399902
842,-0.020477295
843,-0.018554688
844,-0.016418457
845,-0.014343262
846,-0.012176514
847,-0.010192871
848,-0.008117676
849,-0.0059814453
850,-0.003540039
851,-0.0013122559
852,0.000579834
853,0.002532959
854,0.0049743652
855,0.007171631
856,0.009063721
857,0.01083374
858,0.012634277
859,0.014892578
860,0.017089844
861,0.019073486
862,0.020935059
863,0.023101807
864,0.025390625
865,0.02746582
866,0.029937744
867,0.03265381
868,0.035491943
869,0.03768921
870,0.039978027
871,0.04269409
872,0.04510498
873,0.047698975
874,0.05029297
875,0.05267334
876,0.054901123
877,0.057281494
878,0.059143066
879,0.060455322
880,0.06188965
881,0.06323242
882,0.06451416
883,0.06539917
884,0.06567383
885,0.06588745
886,0.06567383
887,0.06515503
888,0.06414795
889,0.06329346
890,0.062164307
891,0.061035156
892,0.059509277
893,0.057617188
894,0.05581665
895,0.054016113
896,0.052001953
897,0.049987793
898,0.047546387
899,0.04458618
900,0.04168701
901,0.03842163
902,0.03527832
903,0.03189087
904,0.028625488
905,0.025604248
906,0.022094727
907,0.018615723
908,0.015472412
909,0.0126953125
910,0.009979248
911,0.007507324
912,0.0051574707
913,0.002532959
914,6.1035156e-05
915,-0.002166748
916,-0.0040283203
917,-0.006072998
918,-0.008178711
919,-0.010253906
920,-0.012176514
921,-0.013641357
922,-0.015197754
923,-0.016998291
924,-0.0184021
925,-0.019561768
926,-0.0206604
927,-0.021514893
928,-0.022613525
929,-0.023834229
930,-0.02456665
931,-0.025360107
932,-0.02645874
933,-0.027435303
934,-0.028289795
935,-0.028930664
936,-0.029968262
937,-0.031463623
938,-0.032836914
939,-0.033813477
940,-0.035186768
941,-0.037231445
942,-0.039489746
943,-0.041900635
944,-0.044647217
945,-0.047607422
946,-0.050567627
947,-0.053771973
948,-0.057128906
949,-0.06036377
950,-0.06399536
951,-0.067596436
952,-0.07098389
953,-0.07409668
954,-0.07733154
955,-0.08029175
956,-0.08337402
957,-0.08602905
958,-0.088256836
959,-0.09048462
960,-0.09197998
961,-0.09350586
962,-0.09448242
963,-0.09484863
964,-0.09475708
965,-0.094329834
966,-0.093566895
967,-0.09185791
968,-0.08987427
969,-0.08779907
970,-0.084991455
971,-0.08187866
972,-0.07846069
973,-0.07461548
974,-0.07064819
975,-0.066589355
976,-0.062438965
977,-0.05783081
978,-0.053131104
979,-0.048583984
980,-0.043945312
981,-0.039398193
982,-0.034698486
983,-0.03036499
984,-0.025756836
985,-0.021209717
986,-0.016906738
987,-0.012939453
988,-0.008850098
989,-0.0048828125
990,-0.0006713867
991,0.0031433105
992,0.0065307617
993,0.009552002
994,0.012481689
995,0.015594482
996,0.018249512
997,0.020965576
998,0.023406982
999,0.025604248
1000,0.027770996
1001,0.029907227
1002,0.031799316
1003,0.033691406
1004,0.035491943
1005,0.037322998
1006,0.038879395
1007,0.040283203
1008,0.04196167
1009,0.043304443
1010,0.04421997
1011,0.045135498
1012,0.04598999
1013,0.04675293
1014,0.047546387
1015,0.047912598
1016,0.048339844
1017,0.048583984
1018,0.049041748
1019,0.04925537
1020,0.049468994
1021,0.049713135
1022,0.0496521
1023,0.049468994
1024,0.049194336
1025,0.048583984
1026,0.04824829
1027,0.04748535
1028,0.046539307
1029,0.04525757
1030,0.043823242
1031,0.04244995
1032,0.041107178
1033,0.039215088
1034,0.036956787
1035,0.03503418
1036,0.032714844
1037,0.030700684
1038,0.028503418
1039,0.026306152
1040,0.024291992
1041,0.02230835
1042,0.020263672
1043,0.01876831
1044,0.017211914
1045,0.015899658
1046,0.014434814
1047,0.013183594
1048,0.012207031
1049,0.011352539
1050,0.010803223
1051,0.010528564
1052,0.010406494
1053,0.010314941
1054,0.010467529
1055,0.010925293
1056,0.011505127
1057,0.012390137
1058,0.013305664
1059,0.014923096
1060,0.016571045
1061,0.018157959
1062,0.019683838
1063,0.021362305
1064,0.023010254
1065,0.024536133
1066,0.02557373
1067,0.02645874
1068,0.02758789
1069,0.028503418
1070,0.028839111
1071,0.028961182
1072,0.02923584
1073,0.029144287
1074,0.028717041
1075,0.02835083
1076,0.027709961
1077,0.026824951
1078,0.026153564
1079,0.024902344
1080,0.02331543
1081,0.021759033
1082,0.020477295
1083,0.019012451
1084,0.01739502
1085,0.015777588
1086,0.014038086
1087,0.012451172
1088,0.01071167
1089,0.009063721
1090,0.007232666
1091,0.0055236816
1092,0.00390625
1093,0.0022277832
1094,0.0004272461
1095,-0.0013122559
1096,-0.0024719238
1097,-0.0038757324
1098,-0.005493164
1099,-0.006500244
1100,-0.0073547363
1101,-0.0079956055
1102,-0.00869751
1103,-0.009063721
1104,-0.009307861
1105,-0.0095825195
1106,-0.009429932
1107,-0.00881958
1108,-0.008850098
1109,-0.00869751
1110,-0.008117676
1111,-0.007598877
1112,-0.0070495605
1113,-0.006164551
1114,-0.0051574707
1115,-0.004058838
1116,-0.002746582
1117,-0.0016174316
1118,-0.000579834
1119,0.00036621094
1120,0.0018005371
1121,0.002746582
1122,0.0036010742
1123,0.004547119
1124,0.0055236816
1125,0.0060424805
1126,0.0065307617
1127,0.006500244
1128,0.0066833496
1129,0.0068969727
1130,0.00680542
1131,0.006866455
1132,0.006713867
1133,0.006591797
1134,0.006500244
1135,0.006134033
1136,0.005645752
1137,0.0051574707
1138,0.0044555664
1139,0.0034179688
1140,0.002105713
1141,0.0008544922
1142,-0.00024414062
1143,-0.0018005371
1144,-0.003326416
1145,-0.004486084
1146,-0.00592041
1147,-0.007232666
1148,-0.008422852
1149,-0.009796143
1150,-0.010894775
1151,-0.0121154785
1152,-0.013153076
1153,-0.0140686035
1154,-0.014892578
1155,-0.01586914
1156,-0.016540527
1157,-0.017059326
1158,-0.017547607
1159,-0.017974854
1160,-0.018554688
1161,-0.019104004
1162,-0.019866943
1163,-0.0206604
1164,-0.021209717
1165,-0.021911621
1166,-0.02267456
1167,-0.02355957
1168,-0.024414062
1169,-0.025177002
1170,-0.025726318
1171,-0.026397705
1172,-0.026855469
1173,-0.026977539
1174,-0.02722168
1175,-0.02709961
1176,-0.026824951
1177,-0.02670288
1178,-0.026489258
1179,-0.026184082
1180,-0.025543213
1181,-0.024719238
1182,-0.024108887
1183,-0.023590088
1184,-0.022613525
1185,-0.021240234
1186,-0.020050049
1187,-0.018798828
1188,-0.017364502
1189,-0.015777588
1190,-0.014160156
1191,-0.012298584
1192,-0.010284424
1193,-0.008392334
1194,-0.0061950684
1195,-0.003326416
1196,-0.0010375977
1197,0.0013122559
1198,0.0034179688
1199,0.0056762695
1200,0.0076904297
1201,0.009613037
1202,0.0113220215
1203,0.013214111
1204,0.014434814
1205,0.015319824
1206,0.015991211
1207,0.01638794
1208,0.016998291
1209,0.01687622
1210,0.016326904
1211,0.01574707
1212,0.015014648
1213,0.014251709
1214,0.013092041
1215,0.011413574
1216,0.010070801
1217,0.008148193
1218,0.00592041
1219,0.0035705566
1220,0.0011291504
1221,-0.0012512207
1222,-0.0036315918
1223,-0.0059509277
1224,-0.008270264
1225,-0.010650635
1226,-0.012573242
1227,-0.014160156
1228,-0.015930176
1229,-0.017486572
1230,-0.018493652
1231,-0.019592285
1232,-0.020721436
1233,-0.021240234
1234,-0.021270752
1235,-0.021575928
1236,-0.021636963
1237,-0.021392822
1238,-0.020935059
1239,-0.020019531
1240,-0.018829346
1241,-0.01727295
1242,-0.015411377
1243,-0.013458252
1244,-0.011138916
1245,-0.008666992
1246,-0.0059814453
1247,-0.0031738281
1248,-0.00018310547
1249,0.0029296875
1250,0.0061035156
1251,0.009674072
1252,0.013336182
1253,0.016448975
1254,0.019256592
1255,0.022521973
1256,0.025421143
1257,0.02822876
1258,0.031188965
1259,0.03378296
1260,0.036315918
1261,0.039123535
1262,0.04147339
1263,0.0435791
1264,0.045837402
1265,0.048095703
1266,0.04989624
1267,0.0513916
1268,0.05291748
1269,0.05429077
1270,0.055511475
1271,0.056854248
1272,0.057922363
1273,0.058685303
1274,0.05883789
1275,0.05923462
1276,0.059326172
1277,0.059051514
1278,0.058746338
1279,0.058654785
1280,0.0579834
1281,0.05718994
1282,0.05621338
1283,0.05517578
1284,0.05404663
1285,0.05255127
1286,0.051116943
1287,0.049224854
1288,0.047454834
1289,0.04550171
1290,0.04385376
1291,0.04159546
1292,0.03933716
1293,0.037353516
1294,0.035125732
1295,0.032562256
1296,0.030029297
1297,0.027648926
1298,0.025146484
1299,0.022949219
1300,0.021087646
1301,0.019256592
1302,0.01739502
1303,0.015960693
1304,0.014556885
1305,0.013305664
1306,0.0121154785
1307,0.011383057
1308,0.010528564
1309,0.0095825195
1310,0.009185791
1311,0.008911133
1312,0.008728027
1313,0.008514404
1314,0.0079956055
1315,0.0074768066
1316,0.007232666
1317,0.0066833496
1318,0.0059814453
1319,0.0051574707
1320,0.00491333
1321,0.00491333
1322,0.004333496
1323,0.0034179688
1324,0.00289917
1325,0.0022277832
1326,0.0017089844
1327,0.0010375977
1328,-0.0005493164
1329,-0.0020141602
1330,-0.0032348633
1331,-0.0043945312
1332,-0.0053100586
1333,-0.006713867
1334,-0.008178711
1335,-0.009552002
1336,-0.010864258
1337,-0.012329102
1338,-0.014007568
1339,-0.015472412
1340,-0.017303467
1341,-0.01876831
1342,-0.02041626
1343,-0.022338867
1344,-0.024261475
1345,-0.026275635
1346,-0.028381348
1347,-0.030548096
1348,-0.033050537
1349,-0.035491943
1350,-0.037750244
1351,-0.039733887
1352,-0.04196167
1353,-0.043945312
1354,-0.046081543
1355,-0.04827881
1356,-0.05029297
1357,-0.051940918
1358,-0.05355835
1359,-0.055114746
1360,-0.056488037
1361,-0.058135986
1362,-0.05895996
1363,-0.059448242
1364,-0.06008911
1365,-0.060180664
1366,-0.06008911
1367,-0.060180664
1368,-0.059448242
1369,-0.058685303
1370,-0.057678223
1371,-0.057006836
1372,-0.055908203
1373,-0.054473877
1374,-0.052734375
1375,-0.05065918
1376,-0.048583984
1377,-0.046783447
1378,-0.044525146
1379,-0.042022705
1380,-0.03967285
1381,-0.037200928
1382,-0.034332275
1383,-0.031707764
1384,-0.02923584
1385,-0.026672363
1386,-0.024047852
1387,-0.021209717
1388,-0.018463135
1389,-0.016052246
1390,-0.013549805
1391,-0.010955811
1392,-0.008148193
1393,-0.005279541
1394,-0.002746582
1395,-0.00033569336
1396,0.0023498535
1397,0.005218506
1398,0.007659912
1399,0.010467529
1400,0.012969971
1401,0.014526367
1402,0.016571045
1403,0.01876831
1404,0.020446777
1405,0.022094727
1406,0.0234375
1407,0.024841309
1408,0.025787354
1409,0.027038574
1410,0.02822876
1411,0.02911377
1412,0.029815674
1413,0.030731201
1414,0.03149414
1415,0.031341553
1416,0.031555176
1417,0.032043457
1418,0.032684326
1419,0.03314209
1420,0.032928467
1421,0.032348633
1422,0.03201294
1423,0.03152466
1424,0.031036377
1425,0.030303955
1426,0.02935791
1427,0.028442383
1428,0.027832031
1429,0.026977539
1430,0.026153564
1431,0.025787354
1432,0.02520752
1433,0.024993896
1434,0.024871826
1435,0.024932861
1436,0.024841309
1437,0.024902344
1438,0.025390625
1439,0.025878906
1440,0.026275635
1441,0.027191162
1442,0.028259277
1443,0.02911377
1444,0.029846191
1445,0.031036377
1446,0.032318115
1447,0.033721924
1448,0.035339355
1449,0.037017822
1450,0.03845215
1451,0.03982544
1452,0.042144775
1453,0.043670654
1454,0.045166016
1455,0.04699707
1456,0.04824829
1457,0.04937744
1458,0.05065918
1459,0.05206299
1460,0.05303955
1461,0.053588867
1462,0.05407715
1463,0.054351807
1464,0.05444336
1465,0.05407715
1466,0.053222656
1467,0.052246094
1468,0.050964355
1469,0.04953003
1470,0.047668457
1471,0.045410156
1472,0.042755127
1473,0.04046631
1474,0.03778076
1475,0.035095215
1476,0.03225708
1477,0.028503418
1478,0.02468872
1479,0.021270752
1480,0.018249512
1481,0.014678955
1482,0.011260986
1483,0.008178711
1484,0.004852295
1485,0.0018920898
1486,-0.0005187988
1487,-0.0028381348
1488,-0.0050964355
1489,-0.007507324
1490,-0.009979248
1491,-0.011566162
1492,-0.013122559
1493,-0.014526367
1494,-0.016082764
1495,-0.017242432
1496,-0.018066406
1497,-0.018951416
1498,-0.02017212
1499,-0.020935059
1500,-0.021118164
1501,-0.021759033
1502,-0.021972656
1503,-0.021972656
1504,-0.022644043
1505,-0.022644043
1506,-0.022338867
1507,-0.021881104
1508,-0.021697998
1509,-0.021606445
1510,-0.02078247
1511,-0.020324707
1512,-0.019927979
1513,-0.019561768
1514,-0.019256592
1515,-0.018798828
1516,-0.018005371
1517,-0.017150879
1518,-0.016601562
1519,-0.016326904
1520,-0.0146484375
1521,-0.013458252
1522,-0.012268066
1523,-0.010498047
1524,-0.008514404
1525,-0.006958008
1526,-0.0048217773
1527,-0.0025024414
1528,0.00015258789
1529,0.0033874512
1530,0.0061950684
1531,0.009338379
1532,0.012420654
1533,0.014984131
1534,0.017700195
1535,0.020446777
1536,0.022918701
1537,0.025421143
1538,0.027648926
1539,0.029785156
1540,0.031707764
1541,0.032958984
1542,0.03451538
1543,0.03567505
1544,0.036193848
1545,0.036315918
1546,0.03677368
1547,0.036956787
1548,0.036346436
1549,0.035827637
1550,0.03503418
1551,0.034240723
1552,0.03286743
1553,0.030914307
1554,0.028869629
1555,0.026916504
1556,0.024932861
1557,0.022705078
1558,0.020111084
1559,0.017730713
1560,0.015350342
1561,0.012420654
1562,0.009216309
1563,0.006011963
